wave number,-5_1,-5_2,-5_3,-5_4,-5_5,-5_6,-5_7,-5_8,-7_1,-7_2,-7_3,-8_1,-8_2,-8_3,-8_4,-9_1,-9_2,-9_3,-9_4,-10_1,-10_2,-10_3
596.626,13452,13916,11248,19734,16426,17112,27102,18074,8990,16052,16620,23364,28538,14692,16738,29472,13706,14794,24570,6908,28028,10626
598.362,13604,13746,11406,19656,16432,17050,26844,18094,9012,16118,16508,23518,28252,14814,16678,29498,13660,14990,24590,6902,27872,10716
600.098,13560,14002,11294,19580,16246,17104,27232,18032,9162,16068,16558,23614,28448,14530,16850,29496,13542,14888,24540,6812,27972,10718
601.833,13498,13808,11220,19436,16596,17078,26902,17936,9168,15968,16532,23484,28542,14676,16700,29718,13786,14914,24550,6866,27904,10592
603.568,13622,13958,11236,19664,16290,17188,27206,18030,9078,16034,16616,23536,28370,14760,16638,29588,13608,14838,24426,6884,27826,10606
605.305,13346,13876,11332,19290,16156,17068,27074,18156,9240,16162,16496,23590,28616,14748,16660,29684,13594,14930,24516,6870,27942,10612
607.04,13512,13782,11222,19424,16392,17028,27036,18088,9118,16062,16438,23412,28458,14654,16742,29456,13642,14890,24596,6892,28154,10682
608.774,13494,13852,11204,19372,16372,17236,27268,18270,9188,16080,16542,23632,28750,14652,16750,29522,13692,14950,24758,6842,27970,10666
610.508,13572,13952,11370,19300,16446,17356,27282,18094,9138,16278,16496,23698,28482,14708,16602,29838,13686,14978,24524,6846,27908,10566
612.241,13610,13934,11290,19132,16382,17182,27316,18254,9154,16264,16424,23710,28710,14704,16824,29810,13732,14910,24440,6884,28128,10734
613.977,13544,13958,11306,19264,16246,17032,27378,18194,9160,16298,16704,23740,28720,14794,16760,29470,13718,14974,24820,6782,28100,10556
615.709,13468,14040,11448,19152,16440,17294,27370,18254,9050,16304,16554,23806,28788,14872,16692,29658,13874,15060,24722,6836,28180,10826
617.442,13530,13868,11190,18932,16442,17228,27360,18274,9066,16336,16432,23474,28868,14690,16882,30060,13706,15066,24740,7014,28038,10690
